aa	Afaraf
aom	Ömie
aon	Bumbita Arapesh
aon-x-woginara	Woginara
aos	Taikat
aot	Atong (India)
aox	Atorada
aoz	Uab Meto
apb	Sa'a
apb-x-ulawa	Ulawa
apc	لهجات شامية
apc-x-druzearabic	Druze Arabic
apd	لهجة سودانية
apd-x-jaali	Ja'ali
ape	Bukiyip
apf	Pahanan Agta
apg	Ampanang
aph	आठपहरिया‎
api	Apiaká
apj	Jicarilla Apache
apk	Kiowa Apache
apl	Lipan Apache
apm	Mescalero-Chiricahua Apache
apn	Apinayé
apo	Ambul
app	Apma
apr	Arop-Lokep
apr-x-bulakarmel	Bula Karmeleve
aps	Arop-Sissano
apt	Apatani
apu	Apurinã
apv	Alapmunte
apw	Western Apache
apx	Aputai
apy	Apalaí
apz	Safeyoka
aqc	Арчинский
aqd	Ampari Dogon
aqg	Arigidi
aqm	Atohwaim
aqn	Northern Alta
aqp	Atakapa
aqr	Arhâ
aqt	Angaité
aqz	Akuntsu
ar	العربية
arb	العربية الفصحى, عربي فصيح
arc	Official Aramaic (700-300 BCE)
ard	Arabana
are	Western Arrarnta
arh	Arhuaco
ari	Arikara
arj	Arapaso
ark	Arikapú
arl	Arabela
arn	Mapudungun
aro	Araona
arp	Arapaho
arq	دزيرية
arr	Karo (Brazil)
ars	اللهجة النجدية
aru	Aruá (Amazonas State)
arv	Arbore
arw	Arawak
arx	Aruá (Rodonia State)
ar-x-dcv	العربية Dominant Culture Variant
ar-xzn	عربی-خوزستان
ary	الدارجة
arz	اللغه المصريه العاميه
as	অসমীয়া
asa	Asu
asb	Assiniboine
asc	Casuarina Coast Asmat
asd	Asas
asd-x-kou	Kou
ase	American Sign Language
ase-x-beninsl	Benin Sign Language
ase-x-burkinasl	Burkina Faso Sign Language
ase-x-camanglosl	Cameroonian Anglophone Sign Language
ase-x-camfrancsl	Cameroonian Francophone Sign Language
ase-x-congolesl	Congolese Sign Language
ase-x-cotedivosl	Cote d'Ivoire Sign Language
ase-x-gabonesesl	Gabonese Sign Language
ase-x-togolesesl	Togolese Sign Language
ase-x-tongansl	Tongan Sign Language
asf	Australian Sign Language
asg	Cishingini
asi	Buruwai
asj	Sari
ask	Ashkun
asl	Asilulu
asl-x-botswanasl	Botswana Sign Language
asl-x-bukavusl	Bukavu Sign Language
asl-x-drcfrnchsl	Congolese French Sign Language
asl-x-liberiansl	Liberian Sign Language
asl-x-nigersl	Nigerien Sign Language
asl-x-senegalsl	Senegal Sign Language
asn	Xingú Asuriní
aso	Dano
asp	لغة الإشارة الجزائر
asq	Austrian Sign Language
asr	Asuri
ass	Ipulo
ast	Asturian
asu	Tocantins Asurini
asv	Asoa
asw	Australian Aborigines Sign Language
asx	Muratayak
asy	Yaosakor Asmat
asz	As
ata	Pele-Ata
atb	载瓦
atc	Atsahuaca
atd	Ata Manobo
atd-x-paquib	Ata Paquibato Manobo
ate	Atemble
atg	Ivbie North-Okpela-Arhe
ati	Attié
atj	Atikamekw
atk	Ati
atl	Mt. Iraya Agta
atm	Ata
atn	زبان آشتیانی
ato	Atong (Cameroon)
atp	Pudtol Atta
atq	Aralle-Tabulahan
atr	Waimiri-Atroari
ats	Gros Ventre
att	Pamplona Atta
atu	Reel
atv	Горно-алтайская
atw	Atsugewi
atx	Arutani
aty	Aneityum
atz	Arta
aua	Asumboa
aub	Alugu
auc	Waorani
aud	Anuta
aug	Aguna
auh	Aushi
aui	Anuki
auj	لغة أوجلية
auk	Heyo
aul	Aulua
aum	Asu (Nigeria)
aun	Molmo One
auo	Auyokawa
aup	Makayam
auq	Anus
aur	Aruek
aut	Austral
auu	Auye
auw	Awyi
auy	Awiyaana
auy-x-abomatasa	Abomatasa
auy-x-arora	Arora
auy-x-ati	Ati
auy-x-kaiwana	Kaiwana
auy-x-moife	Moife
auy-x-tontona	Tontona
auz	Uzbeki Arabic
av	авар мацӀ, магӀарул мацӀ
avb	Avau
avd	Alviri-Vidari
avi	Avikam
avk	Kotava
avl	لهجة بدوية
avn	Avatime
avt	Au
avu	Avokaya
avv	Avá-Canoeiro
awa	Awadhi
awb	Awa (Papua New Guinea)
awc	Cicipu
awe	Awetí
awh	Awbono
awi	Aekyom
awk	Awabakal
awm	Arawum
awn	Awngi
awo	Awak
awr	Awera
aws	South Awyu
awt	Araweté
awu	Central Awyu
awv	Jair Awyu
aww	Awun
awx	Awara
awy	Edera Awyu
axg	Mato Grosso Arára
axk	Yaka (Central African Republic)
axm	Middle Armenian
axx	Xârâgurè
ay	aymar aru
aya	Awar
ayb	Ayizo Gbe
ayc	Southern Aymara
aye	Ayere
ayg	Ginyanga
ayg-x-anyagan	Anyagan
ayh	لهجة حضرمية
ayi	Leyigha
ayk	Akuku
ayl	ليبي
ayn	لهجة صنعانية
ayo	Ayoreo
ayp	لهجة موصلية
ayq	Ayi (Papua New Guinea)
ayr	Central Aymara
ays	Sorsogon Ayta
ayt	Magbukun Ayta
ayu	Ayu
ayz	Mai Brat
az	azərbaycan dili
aza	Azha
azb	South Azerbaijani
azb-x-afshari	Afshari
azb-x-tabrizazer	Tabriz Azeri
azd	Eastern Durango Nahuatl
azg	San Pedro Amuzgos Amuzgo
azj	Azərbaycan dili
azm	Ipalapa Amuzgo
azn	Western Durango Nahuatl
azo	Awing
azt	Faire Atta
azz	Highland Puebla Nahuatl
ba	башҡорт теле
baa	Babatana
bab	Bainouk-Gunyuño
bac	Badui
bae	Baré
baf	Nubaca
bag	Tuki
bah	Bahamas Creole English
baj	Barakai
bal	بلوچی
bam-x-mali	Bambara
ban	Balinese
bao	Waimaha
bap	बान्तवा
bar	Bavarian
bas	Basa (Cameroon)
bau	Bada (Nigeria)
bav	Vengo
baw	Bambili-Bambui
bax	Bamun
bay	Batuley
bba	Baatonum
bbb	Barai
bbc	Batak Toba
bbc-x-asahan	Asahan
bbd	Bau
bbe	Bangba
bbf	Baibai
bbg	Barama
bbh	布甘语
bbi	Barombi
bbj	Ghomálá'
bbj-x-baleng	Negha Pelongtam
bbk	Babanki
bbl	ბაცბური ენა
bbm	Babango
bbn	Uneapa
bbo	Northern Bobo Madaré
bbp	West Central Banda
bbq	Bamali
bbr	Girawa
bbr-x-paisop	Paisop
bbr-x-yagi	Yagi
bbs	Bakpinka
bbt	Mburku
bbu	Kulung (Nigeria)
bbv	Karnai
bbw	Baba
bbx	Bubia
bby	Befang
bbz	Babalia Creole Arabic
bca	白语
bca-x-bei	Bei
bcb	Bainouk-Samik
bcc	بلوچی زبان
bcc-x-makrani	Makrani Balochi
bcd	North Babar
bce	Bamenyam
bcf	Bamu
bcg	Baga Pokur
bch	Bariai
bci	Baoulé
bci-x-ayaou	Ayaou
bci-x-elomoin	Elomoin
bcj	Bardi
bck	Bunaba
bcl	Central Bikol
bcm	Bannoni
bcn	Bali (Nigeria)
bco	Kaluli
bcp	Bali (Democratic Republic of Congo)
bcq	Bench
bcr	Babine
bcs	Kohumono
bct	Bendi
bcu	Awad Bing
bcu-x-biliau	Biliau
bcu-x-galeg	Galeg
bcu-x-swit	Swit
bcu-x-yamai	Yamai
bcv	Shoo-Minda-Nye
bcv-x-bandawa	Bandawa
bcw	Bana
bcy	Bacama
bcz	Bainouk-Gunyaamolo
bda	Bayot
bda-x-aramme	Bayote Aramme
bda-x-elia	Bayote Elia
bdb	Basap
bdb-x-menaburkecil	Menabur Kecil
bdc	Emberá-Baudó
bdd	Bunama
bde	Bade
bdf	Biage
bdg	Bonggi
bdh	Baka (Sudan)
bdi	Burun
bdj	Bai
bdk	Buduq dili
bdl	Bajo
bdm	Buduma
bdn	Baldemu
bdo	Morom
bdp	Bende
bdq	Tiếng Ba Na
bdr	West Coast Bajau
bdr-x-bajausama	Bajau Sama
bds	Burunge
bdt	Bokoto
bdu	Oroko
bdv	Bodo Parja
bdw	Baham
bdx	Budong-Budong
bdy	Bandjalang
bdz	بدیشی زبان
be	беларуская мова
bea	Beaver
beb	Bebele
bec	Iceve-Maci
bed	Bedoanas
bee	Byangsi
bef	Benabena
beg	Belait
beh	Biali
bei	Bekati'
bei-x-bakatikamayo	Dayak Bakati Kamayo
bei-x-dayakdsa	Dayak Dsa
bei-x-dayaklaya	Dayak Laya
bej	Beja
bek	Bebeli
bek-x-morokea	Morokea
bek-x-mosa	Mosa
bem	Bemba (Zambia)
bem-x-ichishinga	Ichishinga
bem-x-kabenmushi	Kabende Mushi
bem-x-ngumbo	Ngumbo
bem-x-unga	Unga
ben-x-musohor	Musohor
ben-x-sadree	Sadree
beo	Beami
bep	Besoa
beq	Beembe
bes	Besme
bet	Guiberoua Béte
beu	Blagar
bev	Daloa Bété
bew	Betawi
bex	Jur Modo
bey	Beli (Papua New Guinea)
bez	Bena (Tanzania)
bfa	Bari
bfb	Pauri Bareli
bfb-x-pauribarel	Pauri Bareli
bfc	北部方言
bfc-x-lama	Lama
bfd	Bafut
bfe	Betaf
bff	Bofi
bfg	Busang Kayan
bfh	Blafe
bfi	British Sign Language
bfj	Bafanji
bfk	Ban Khor Sign Language
bfl	Banda-Ndélé
bfm	Mmen
bfn	Bunak
bfo	Malba Birifor
bfp	Beba
bfq	Badaga
bfr	Bazigar
bfs	南部方言
bfs-x-liuhebai	Liuhe Bai
bft	بلتی
bfu	Gahri
bfw	Bondo
bfx	Bantayanon
bfy	Bagheli
bfz	Mahasu Pahari
bfz-x-baghlian	Baghliani
bg	български език
bga	Gwamhi-Wuri
bgb	Bobongko
bgc	Haryanvi
bgd	Rathwi Bareli
bgd-x-pawari	Pawari
bge	Bauria
bgf	Bangandu
bgg	Bugun
bgi	Giangan
bgj	Bangolan
bgk	Bit
bgl	Bo (Laos)
bgm	Baga Mboteni
bgn	بلوچی زبان
bgo	Baga Koga
bgp	بلوچی زبان
bgq	Bagri
bgr	Bawm Chin
bgr-x-panam	PaNam
bgs	Tagabawa
bgt	Bughotu
bgu	Mbongno
bgv	Warkay-Bipim
bgw	Bhatri
bgx	Balkan Gagauz Turkish
bgy	Benggoi
bgz	Banggai
bha	Bharia
bhb	Bhili
bhb-x-billori	Billori
bhb-x-kotvaliya	Kotvaliya
bhc	Biga
bhd	Bhadrawahi
bhe	Bhaya
bhf	Odiai
bhg	Binandere
bhg-x-begabari	Begabari
bhg-x-tynsdawari	Tynadawari
bhh	בוכרית
bhi	Bhilali
bhj	Bahing
bhl	Bimin
bhm	لغة باثارية
bhn	ܣܘܪܬ
bho	Bhojpuri
bho-x-thethi	Thethi Bhojpuri
bhp	Bima
bhp-x-donggombojo	Donggo Mbojo
bhq	Tukang Besi South
bhr	Bara Malagasy
bhs	Buwal
bht	Bhattiyali
bhu	Bhunjia
bhv	Bahau
bhw	Biak
bhw-x-betew	Betew
bhx	Bhalay
bhy	Bhele
bhy-x-bakombe	Bakombe
bhy-x-bapakombe	Bapakombe
bhz	Bada (Indonesia)
bi	Bislama
bia	Badimaya
bib	Bissa
bic	Bikaru
bid	Bidiyo
bie	Bepour
bif	Biafada
big	Biangai
bij	Vaghat-Ya-Bijim-Legeri
bik	Bikol
bil	Ɓille
bim	Bimoba
bin	Bini
bio	Nai
bip	Bila
biq	Bipi
bir	Bisorio
bit	Berinomo
biu	Biete
biv	Southern Birifor
biw	Kol (Cameroon)
bix	Bijori
biy	Birhor
biz	Baloi
bja	Budza
bjc	Bariji
bje	标敏方言
bjf	לשניד דינן
bjg	Bidyogo
bjh	Bahinemo
bji	Burji
bjj	Kanauji
bjj-x-khadi	Khadi
bjk	Barok
bjk-x-husen	Husen
bjk-x-nebo	Nebo
bjl	Bulu (Papua New Guinea)
bjm	زبان باجلانی
bjn	Banjar
bjn-x-dayakbanjar	Dayak Banjar
bjn-x-hulu	Dayak Lebang Hulu
bjn-x-pulautelo	Dayak Pulau Telo
bjn-x-seidusun	Dayak Sei Dusun
bjo	Mid-Southern Banda
bjp	Fanamaket
bjr	Binumarien
bjs	Bajan
bjt	Balanta-Ganja
bju	Busuu
bjv	Bedjond
bjw	Bakwé
bjx	Banao Itneg
bjx-x-curaju	Curaju
bjx-x-gubang	Gubang
bjz	Baruga
bjz-x-mado	Mado
bka	Kyak
bkc	Baka (Cameroon)
bkd	Binukid
bkd-x-talaandig	Talaandig
bkf	Beeke
bkg	Buraka
bkh	Bakoko
bki	Baki
bkj	Pande
bkk	Brokskat
bkl	Berik
bkm	Kom (Cameroon)
bkn	Bukitan
bkn-x-punanblusu	Punan Blusu
bko	Kwa'
bkp	Boko (Democratic Republic of Congo)
bkq	Bakairí
bkr	Bakumpai
bkr-x-kalahien	Dusun Kalahien
bkr-x-pajuepat	Paju Epat
bks	Northern Sorsoganon
bkt	Boloki
bku	Buhid
bkv	Bekwarra
bkw	Bekwel
bkx	Baikeno
bky	Bokyi
bkz	Bungku
bla	Siksika
blb	Bilua
blc	Bella Coola
bld	Bolango
ble	Balanta-Kentohe
ble-x-balantanaga	Balanta Naga
blf	Buol
blg	Balau
blh	Kuwaa
bli	Bolia
blj	Bolongan
blk	Pa'o Karen
bll	Biloxi
blm	Beli (Sudan)
bln	Southern Catanduanes Bikol
blo	Anii
blp	Blablanga
blq	Baluan-Pam
blr	布朗方言
bls	Balaesang
blt	Tai Dam
blv	Bolo
blw	Balangao
blx	Mag-Indi Ayta
bly	Notre
blz	Balantak
bm	Bamanankan
bma	Lame
bmb	Bembe
bmb-x-kilungwe	Kilungwe
bmb-x-kirhuma	Kirhuma
bmb-x-kivuluga	Kivuluga
bmc	Biem
bmd	Baga Manduri
bme	Limassa
bmf	Bom
bmg	Bamwe
bmh	Kein
bmh-x-bamsos	Bamsos
bmh-x-jaru	Jaru
bmi	Bagirmi
bmj	Bote-Majhi
bmk	Ghayavi
bml	Bomboli
bmm	Northern Betsimisaraka Malagasy
bmm-x-middlebetsi	Middle Betsimisaraka Malagasy
bmo	Bambalang
bmp	Bulgebi
bmq	Bomu
bmr	Muinane
bms	Bilma Kanuri
bmt	标曼土语
bmu	Somba-Siawari
bmv	Bum
bmw	Bomwali
bmx	Baimak
bmz	Baramu
bn	বাংলা
bna	Bonerate
bnb	Bookan
bnb-x-murutangar	Murut Tangara
bnc	Bontok
bnd	Banda (Indonesia)
bne	Bintauna
bnf	Masiwang
bng	Benga
bni	Bobangi
bnj	Eastern Tawbuid
bnk	Bierebo
bnl	Boon
bnm	Batanga
bnm-x-banoho	Banoho
bnm-x-bapuku	Bapuku
bnn	Bunun
bno	Bantoanon
bnp	Bola
bnp-x-garua	Garua
bnp-x-tamalama	Tamalama
bnq	Bantik
bnr	Butmas-Tur
bns	Bundeli
bnu	Bentong
bnv	Bonerif
bnw	Bisis
bnx	Bangubangu
bnx-TZ-bangubangu	Bangubangu
bnx-x-kasenga	Kasenga
bnx-x-mikebwe	Mikebwe
bnx-x-nkuvu	Nkuvu
bnx-x-nonda	Nonda
bny	Bintulu
bnz	Beezen
bo	བོད་ཡིག
boa	Bora
bob	Aweer
boe	Mundabli
bof	Bolon
bog	Malian Sign Language
boh	Boma
boi	Barbareño
boj	Anjam
bok	Bonjo
bol	Bole
bom	Berom
bon	Bine
boo	Tiemacèwè Bozo
bop	Bonkiman
boq	Bogaya
bor	Borôro
bot	Bongo
bou	Bondei
bov	Tuwuli
bow	Rema
box	Buamu
box-x-dedougou	Bwamu de Dedougou
boy	Bodo (Central African Republic)
boz	Tiéyaxo Bozo
bpa	Daakaka
bpd	Banda-Banda
bpg	Bonggo
bph	Ботлихский
bpi	Bagupi
bpj	Binji
bpk	Orowe
bpl	Broome Pearling Lugger Pidgin
bpm	Biyom
bpn	藻敏
bpo	Anasi
bpp	Kaure
bpq	Banda Malay
bpr	Koronadal Blaan
bpr-x-blantokalon	B'laan toh Kalon
bps	Sarangani Blaan
bps-x-blaanfungo	B'laan Fungol
bpu	Bongu
bpu-x-boimbi	Boimbi
bpv	Bian Marind
bpw	Bo (Papua New Guinea)
bpx	Palya Bareli
bpy	Bishnupriya
bpz	Bilba
bpz-x-diu	Diu
bqa	Tchumbuli
bqb	Bagusa
bqc	Boko (Benin)
bqd	Bung
bqg	Bago-Kusuntu
bqh	白马语
bqi	بختیاری
bqi-x-bakhturk	Turkish Bakhtiari
bqj	Bandial
bqk	Banda-Mbrès
bql	Bilakura
bqm	Wumboko
bqn	Bulgarian Sign Language
bqo	Balo
bqp	Busa
bqq	Biritai
bqr	Burusu
bqs	Bosngun
bqt	Bamukumbit
bqu	Boguru
bqv	Koro Wachi
bqw	Buru (Nigeria)
bqx	Baangi
bqy	Bengkala Sign Language
bqz	Bakaka
br	brezhoneg
bra	Braj
brb	Tiếng Brâu
brd	Baraamu
brf	Bera
brg	Baure
brh	براہوئي
bri	Mokpwe
bri-x-bakweri	Bakweri
brj	Bieria
brl	Birwa
brl-ZW-birwa	Birwa
brm	Barambu
brn	Boruca
bro	Brokkat
brp	Barapasi
brq	Breri
brr	Birao
brs	Baras
brt	Bitare
bru	Eastern Bru
brv	Western Bru
brw	Bellari
brx	Bodo (India)
bry	Burui
brz	Bilbil
bs	bosanski jezik
bsa	Abinomn
bsb	Brunei Bisaya
bsc	Bassari
bse	Wushi
bsf	Bauchi
bsg	زبان بشاگردی
bsh	Kati
bsi	Bassossi
bsj	Bangwinji
bsk	بروشسکی زبان
bsm	Busami
bsn	Barasana-Eduria
bso	Buso
bsp	Baga Sitemu
bsq	Bassa
bsr	Bassa-Kontagora
bss	Akoose
bst	Basketo
bsu	Bahonsuai
bsw	Baiso
bsx	Yangkam
bsy	Sabah Bisaya
bta	Bata
btc	Bati (Cameroon)
btd	Batak Dairi
btd-x-boang	Boang
btd-x-pakpak	Kelasan
bte	Gamo-Ningi
btf	Birgit
btg	Gagnoa Bété
bth	Biatah Bidayuh
bth-x-bidayuhpunten	Dayak Bidayuh Punten
bti	Burate
btj	Bacanese Malay
btl	Bhatola
btm	Batak Mandailing
btn	Ratagnon
bto	Rinconada Bikol
btp	Budibud
btq	Batek
btr	Baetora
bts	Batak Simalungun
bts-x-riangkamie	Timur Riangkamie
btt	Bete-Bendi
btu	Batu
btv	بٹیری
btw	Butuanon
btx	Batak Karo
bty	Bobot
btz	Alas
btz-x-kluet	Kluet
bua	Бурятский
bub	Bua
buc	Bushi
bud	Ntcham
bue	Beothuk
buf	Bushoong
bug	Buginese
bug-x-bugisbaruh	Bugis Barruh
bug-x-bugisboneh	Bugis Boneh
bug-x-bugispinra	Bugis Pinran
bug-x-bugisrapan	Bugis Rapan
bug-x-bugissinja	Bugis Sinjai
bug-x-bugsitdrap	Bugis Sitdrap
bug-x-bulukumba	Bugis Bulukumba
bug-x-endrekan	Bugis Endrekan
bug-x-mandar	Bugis Mandar
buh	优诺语
bui	Bongili
buj	Basa-Gurmana
buk	Bugawac
bum	Bulu (Cameroon)
bun	Sherbro
buo	Terei
bup	Busoa
buq	Brem
bus	Bokobaru
but	Bungain
buu	Budu
buv	Bun
buw	Bubi
bux	Boghom
buy	Bullom So
buz	Bukwen
bva	Barein
bvb	Bube
bvc	Baelelea
bvd	Baeggu
bve	Berau Malay
bvf	Boor
bvg	Bonkeng
bvh	Bure
bvi	Belanda Viri
bvj	Baan
bvk	Bukat
bvl	Bolivian Sign Language
bvm	Bamunka
bvn	Buna
bvo	Bolgo
bvp	布芒语
bvq	Birri
bvr	Burarra
bvt	Bati (Indonesia)
bvu	Bukit Malay
bvw	Boga
bvx	Dibole
bvy	Baybayanon
bvz	Bauzi
bwa	Bwatoo
bwb	Namosi-Naitasiri-Serua
bwc	Bwile
bwd	Bwaidoka
bwe	Bwe Karen
bwf	Boselewa
bwg	Barwe
bwi	Baniwa
bwj	Láá Láá Bwamu
bwk	Bauwaki
bwl	Bwela
bwm	Biwat
bwn	唔奈
bwo	Boro (Ethiopia)
bwp	Mandobo Bawah
bwq	Southern Bobo Madaré
bwr	Bura-Pabir
bws	Bomboma
bwt	Bafaw-Balong
bwu	Buli (Ghana)
bww	Bwa
bwx	布努语
bwy	Cwi Bwamu
bwz	Bwisi
bxa	Tairaha
bxb	Belanda Bor
bxc	Molengue
bxd	波拉
bxe	Birale
bxf	Bilur
bxg	Bangala
bxh	Buhutu
bxj	Bayungu
bxk	Bukusu
bxl	Jalkunan
bxm	Mongolia Buriat
bxn	Burduna
bxo	Barikanchi
bxp	Bebil
bxq	Beele
bxr	Бурятский
bxs	Busam
bxu	布里亞特語
bxw	Bankagooma
bxz	Binahari
bya	Batak
byc	Ubaghara
byd	Benyadu'
byd-x-bedineh	Dayak Bedineh
byd-x-dayakdait	Dayak Dait
byd-x-dayakpantu	Dayak Pantu
byd-x-kerabat	Suku Dayak Kerabat
bye	Pouye
byf	Bete
byg	Baygo
byh	भुजेल
byi	Buyu
byj	Bina (Nigeria)
byk	标话
byl	Bayono
byn	Bilin
byo	Biyo
byp	Bumaji
byr	Baruya
bys	Burak
byv	Medumba
byv-x-hohsieuh	Hoh Sieuh
byv-x-mambelema	Mambelema
byw	Belhariya
byx	Qaqet
byz	Banaro
byz-x-iwarame	Iwarame
byz-x-musiamunat	Musiamunat
